timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/08/14 06:13:19.102, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.59 W
2026/08/14 06:13:20.105, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.55 W
2026/08/14 06:13:21.109, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.40 W
2026/08/14 06:13:22.113, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.27 W
2026/08/14 06:13:23.116, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.21 W
2026/08/14 06:13:24.119, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.12 W
2026/08/14 06:13:25.123, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 118.05 W
2026/08/14 06:13:26.126, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.93 W
2026/08/14 06:13:27.128, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.85 W
2026/08/14 06:13:28.131, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.71 W
2026/08/14 06:13:29.135, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.64 W
2026/08/14 06:13:30.138, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.61 W
2026/08/14 06:13:31.202, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.52 W
2026/08/14 06:13:32.205, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.49 W
2026/08/14 06:13:33.208, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.50 W
2026/08/14 06:13:34.211, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.43 W
2026/08/14 06:13:35.215, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.28 W
2026/08/14 06:13:36.219, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.23 W
2026/08/14 06:13:37.223, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 117.24 W
2026/08/14 06:13:38.226, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 116.72 W
2026/08/14 06:13:39.229, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 116.19 W
2026/08/14 06:13:40.232, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 116.15 W
2026/08/14 06:13:41.236, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 116.13 W
2026/08/14 06:13:42.239, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.90 W
2026/08/14 06:13:43.243, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.91 W
2026/08/14 06:13:44.247, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.90 W
